Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
"Project 06 - Authentication & Authorization (Users + Roles)","Users Table & Unique Email","`users` table with id, name, email (unique), password_hash, role, is_active, timestamps",false,"Excellent","Schema matches spec; unique index on email; correct defaults",8,"Good","Mostly correct; minor column/default mismatch",6,"Poor","Missing table or unique constraint",0
"Project 06 - Authentication & Authorization (Users + Roles)","User Model","`User` extends `BaseModel` with correct `$table`, `$primaryKey`, `$fillable`",false,"Excellent","Model implemented with accurate metadata; used throughout controllers",6,"Good","Model exists but minor property mismatch or not used consistently",4,"Poor","Model missing or not extending BaseModel",0
"Project 06 - Authentication & Authorization (Users + Roles)","BaseModel Helpers","Implements `firstBy($column,$value)` and `existsBy($column,$value,$exceptId)` using prepared statements",false,"Excellent","Both helpers added, safe, and reused for lookups/uniqueness",8,"Good","One helper missing or minor parameterization gaps",6,"Poor","No helpers; ad‑hoc SQL in controllers",0
"Project 06 - Authentication & Authorization (Users + Roles)","Validator Enhancements","Adds `min` and `in` rules; uses `flattenErrors()` for messaging",false,"Excellent","Rules implemented and used; errors flattened for flash messages",6,"Good","Rules partially implemented/used",4,"Poor","No rule enhancements; poor error handling",0
"Project 06 - Authentication & Authorization (Users + Roles)","Controller Auth Helpers","Adds `user()`, `loginUser()`, `logoutUser()`, `requireAuth()`, `requireRole()`",false,"Excellent","All helpers present and used to protect routes",6,"Good","Most helpers present; limited usage",4,"Poor","Missing helpers or unused",0
"Project 06 - Authentication & Authorization (Users + Roles)","View CSRF Helper","Adds `View::csrfField()` and uses it in forms",false,"Excellent","Helper added; all forms include CSRF hidden input",5,"Good","Helper present; some forms missing token",4,"Poor","No helper or missing tokens",0
"Project 06 - Authentication & Authorization (Users + Roles)","Registration Flow","GET/POST routes; validates; unique email; password hashed; auto‑login; redirect to /profile",false,"Excellent","Complete flow with proper validation, uniqueness and hashing",10,"Good","Works with minor validation/UX gaps",8,"Poor","Missing endpoints or insecure (no hashing/unique check)",0
"Project 06 - Authentication & Authorization (Users + Roles)","Login Flow","GET/POST; CSRF; `password_verify`; respects `is_active`; regenerates session ID",false,"Excellent","All checks present; sessions handled securely",10,"Good","Generally works; missing one security detail",8,"Poor","Broken or insecure login",0
"Project 06 - Authentication & Authorization (Users + Roles)","Logout Flow","POST with CSRF; clears session; redirects",false,"Excellent","CSRF validated; session cleared; redirect works",5,"Good","Works but missing CSRF or session hygiene detail",4,"Poor","No logout or insecure method",0
"Project 06 - Authentication & Authorization (Users + Roles)","Profile Show","Displays current user name/email",false,"Excellent","Page renders correctly with current user data",3,"Good","Renders with minor data/escaping gaps",2,"Poor","Missing or not functional",0
"Project 06 - Authentication & Authorization (Users + Roles)","Profile Edit","POST updates name/email with CSRF; enforces unique email excluding current user",false,"Excellent","Validates and updates correctly; uniqueness check uses exceptId",8,"Good","Mostly works; minor validation/uniqueness gap",6,"Poor","Not implemented or insecure",0
"Project 06 - Authentication & Authorization (Users + Roles)","Change Password","Verifies current password; enforces min length; confirms match; stores hashed",false,"Excellent","All checks present; stores hashed; good UX",8,"Good","Works with minor validation/UX gaps",6,"Poor","Missing checks or stores plain text",0
"Project 06 - Authentication & Authorization (Users + Roles)","Admin Users Index","Lists users with edit link and Active checkbox that auto‑submits to toggle",false,"Excellent","Index shows table; toggle posts and reflects status",8,"Good","Index works; toggle present but inconsistent",6,"Poor","Missing index or no toggle",0
"Project 06 - Authentication & Authorization (Users + Roles)","Admin Create User","Form + POST create with CSRF; validates name/email/role/password; hashes password",false,"Excellent","All validations; CSRF; hashed password; success feedback",8,"Good","Works with minor validation/CSRF gaps",6,"Poor","Missing or insecure implementation",0
