Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project 01 - Mini CMS (CRUD),Setup & Config,Project runs at projects/01; config.php loads (session + PDO); .htaccess denies config.php access,false,Excellent,Runs; config/session/PDO/.htaccess all correct,10,Good,Runs with minor config deviations,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Database Setup,sql/posts.sql applied; contact_us table exists; optional seed data,false,Excellent,posts table matches spec; contact_us present,5,Good,Minor schema mismatch,4,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Navigation & Templates,templates/ reused with correct include order; nav.php has Admin - Blog Admin link (relative) and Contact link,false,Excellent,Templates reused correctly; nav links present and relative,5,Good,Minor nav/template issues,4,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Public List (index.php),Lists newest posts with excerpts; titles link to single view,false,Excellent,Newest-first list with excerpts and working links,10,Good,Lists posts with minor ordering/excerpt/link issues,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Single Post (blog_post.php),Validates post_id and renders title/body with timestamps,false,Excellent,Validates id; renders correctly with timestamps,10,Good,Renders but weak validation or missing timestamps,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Admin List (admin_blog.php),Lists posts with Edit/Delete links and a Create button,false,Excellent,Complete admin table with all actions,10,Good,Table present with minor gaps,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Create (blog_create.php),Validates input; creates post with unique slug; PRG with success flash,false,Excellent,"Validates, unique slug, PRG + flash all working",15,Good,Creates posts with minor validation/slug/PRG gaps,12,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Edit (blog_edit.php),Validates and updates; slug regenerates when title changes,false,Excellent,Updates correctly; slug regeneration works,10,Good,Updates with minor issues,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Delete (blog_delete.php),Confirms then deletes; PRG with success flash,false,Excellent,Confirmation + delete + PRG all working,10,Good,Deletes with minor confirmation/PRG gaps,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Security - Prepared Statements & Escaping,All DB access uses prepared statements; all output escaped,false,Excellent,No raw SQL interpolation; all dynamic output escaped,10,Good,Isolated lapses in escaping or parameterization,8,Poor,"Missing, non-functional, or major issues",0
Project 01 - Mini CMS (CRUD),Contact Feature Regression,"contact.php still validates, flashes, and persists as in Project 00",false,Excellent,Contact feature fully functional,5,Good,Works with minor regressions,4,Poor,"Missing, non-functional, or major issues",0
